index,Date,Time,ClGBPUSD,DfGBPUSD,ClEURUSD,DfEURUSD,ClAUDUSD,DfAUDUSD,ClUSDJPY,DfUSDJPY,ClAUDJPY,DfAUDJPY,ClEURAUD,DfEURAUD,ClEURGBP,DfEURGBP,ClEURJPY,DfEURJPY,ClGBPJPY,DfGBPJPY,ClGBPAUD,DfGBPAUD,ClNZDUSD,DfNZDUSD,ClNZDJPY,DfNZDJPY,ClEURNZD,DfEURNZD,ClGBPNZD,DfGBPNZD,ClAUDNZD,DfAUDNZD,ClXAUUSD,DfXAUUSD,ClOILUSD,DfOILUSD,ClJPN225,DfJPN225,ClUSA.30,DfUSA.30
    0,2015.10.29,00:00,1.58723,-0.0000315,1.0976,-0.00189146,0.70688,-0.00862516,121.108,0.00367132,85.609,-0.00490521,1.55249,0.00671798,0.7168,0.00496313,132.933,0.00178604,186.856,-0.00065783,2.15034,-0.00705113,0.69232,0.00279552,85.116,0.00522002,1.64053,0.01047101,2.29145,-0.00316263,1.05658,0.00367623,1167.88,-0.01705186,60.48,0.00515207,20344.35,0.00289614,17792,-0.00681032
    1,2015.10.30,00:00,1.58728,0.00321072,1.09968,-0.00074512,0.71303,-0.00039254,120.665,0.00051408,86.031,0.000093,1.54213,0.00016863,0.71326,0.00019632,132.696,-0.0001959,186.979,0.01065359,2.16561,0.00174852,0.69039,0.00629673,84.674,0.00033079,1.62353,-0.00013549,2.29872,-0.00261634,1.05271,0.00050372,1188.14,0.00463362,60.17,-0.01101249,20285.6,0.00513329,17914,0.00061442
    2,2015.10.31,00:00,1.5822,0.00601498,1.1005,-0.00056306,0.71331,-0.00022426,120.603,-0.00130837,86.023,-0.00150894,1.54187,-0.00078415,0.71312,-0.00183363,132.722,-0.00192513,185.008,-0.00176437,2.16183,0.00023597,0.68607,0.00144509,84.646,-0.0030035,1.62375,-0.00680784,2.30475,0.00470804,1.05218,-0.0067683,1182.66,0.00679334,60.84,0.01807229,20182,0.00223469,17903,-0.01219378
    3,2015.11.02,00:00,1.57274,0.00149644,1.10112,0.004305,0.71347,-0.00867016,120.761,-0.00231327,86.153,-0.01098611,1.54308,0.01307142,0.71443,0.00601273,132.978,0.00198924,185.335,0.0001457,2.16132,0.0007501,0.68508,-0.00508292,84.901,-0.00433911,1.63488,-0.00050742,2.29395,0.00675868,1.05935,-0.013365,1174.68,-0.00218305,59.76,-0.00780342,20137,0.00074545,18124,0.00767263
    4,2015.11.03,00:00,1.57039,-0.00269903,1.0964,0.00980889,0.71971,0.00679863,121.041,-0.00433502,87.11,0.00240504,1.52317,0.00298954,0.71016,0.00610611,132.714,0.00542432,185.308,-0.00389716,2.1597,0.00703624,0.68858,-0.00165284,85.271,-0.00025793,1.63571,-0.00814364,2.27855,-0.00012726,1.0737,-0.01096168,1177.25,0.00623098,60.23,-0.01407759,20122,-0.01930491,17986,-0.00728557
    5,2015.11.04,00:00,1.57464,0.00040661,1.08575,-0.00251725,0.71485,0.00092412,121.568,-0.00068228,86.901,0.00024171,1.51863,-0.00342553,0.70585,-0.01370763,131.998,-0.00318683,186.033,-0.00082713,2.14461,-0.00313755,0.68972,0.0089526,85.293,0.00716765,1.64914,0.00309601,2.27884,-0.00958755,1.0856,0.00637793,1169.96,-0.00601509,61.09,0.01360544,20518.1,-0.01850284,18118,-0.0013229
    6,2015.11.05,00:00,1.574,0.00037498,1.08849,0.01300115,0.71419,0.01463297,121.651,-0.01283747,86.88,0.00157938,1.52385,-0.00157902,0.71566,0.00177774,132.42,0.0000151,186.187,-0.00439551,2.15136,0.01044563,0.6836,-0.00185437,84.686,0.00918787,1.64405,-0.00214254,2.3009,0.00230876,1.07872,-0.00062072,1177.04,0.00856869,60.27,0.00954774,20904.9,0.00762045,18142,0.00916717
    7,2015.11.06,00:00,1.57341,0.00140657,1.07452,0.00057733,0.70389,-0.00026986,123.233,0.00012174,86.743,-0.00009222,1.52626,0.00162753,0.71439,0.00147195,132.418,0.00096757,187.009,0.00204149,2.12912,-0.00338894,0.68487,0.01265692,83.915,0.0130502,1.64758,0.00193384,2.2956,-0.01086685,1.07939,0.00094587,1167.04,0.00080611,59.7,-0.00016748,20746.8,0.00172371,17977.2,0.00358399
    8,2015.11.07,00:00,1.5712,0.0062442,1.0739,-0.00168261,0.70408,-0.00075219,123.218,0.00106429,86.751,0.00025366,1.52378,-0.00169684,0.71334,0.00233251,132.29,-0.00092137,186.628,-0.00133777,2.13636,0.00024346,0.67631,0.00450036,82.834,-0.00106124,1.6444,0.00020681,2.32082,0.00123384,1.07837,0.00132784,1166.1,0.00029166,59.71,0.02418525,20711.1,-0.00645697,17913,-0.00267246
    9,2015.11.09,00:00,1.56145,0.00057031,1.07571,0.00482934,0.70461,0.00387525,123.087,-0.00123338,86.729,0.00261263,1.52637,0.00091149,0.71168,0.00436077,132.412,0.0036002,186.878,0.00098021,2.13584,-0.00405217,0.67328,0.00218812,82.922,0.00318175,1.64406,0.00165718,2.31796,-0.00137432,1.07694,0.0007899,1165.76,0.00120238,58.3,-0.01387009,20845.7,0.03913124,17961,0.01865637
