Date,Time,Open,High,Low,Close,Volume
2014.06.09,00:00,102.524,102.569,102.214,102.346,35682
2014.06.10,00:00,102.346,102.39,101.86,102.072,35325
2014.06.11,00:00,102.07,102.137,101.6,101.686,37546
2014.06.12,00:00,101.682,102.131,101.653,102.031,35678
2014.06.13,00:00,102.016,102.039,101.72,101.826,31612
2014.06.16,00:00,101.827,102.24,101.813,102.142,33011
2014.06.17,00:00,102.142,102.345,101.878,101.916,34873
2014.06.18,00:00,101.923,101.998,101.738,101.937,33135
2014.06.19,00:00,101.936,102.193,101.813,102.07,29243
2014.06.20,00:00,102.068,102.068,102.068,102.068,1
2014.06.21,00:00,102.065,102.134,101.815,101.927,26489
2014.06.23,00:00,101.927,102.165,101.817,101.964,27850
2014.06.24,00:00,101.968,101.975,101.624,101.859,25342
2014.06.25,00:00,101.859,101.865,101.486,101.726,27113
2014.06.26,00:00,101.725,101.725,101.312,101.373,28776
2014.06.27,00:00,101.373,101.373,101.373,101.373,1
2014.06.30,00:00,101.429,101.47,101.233,101.319,25865
2014.07.01,00:00,101.325,101.589,101.285,101.517,33039
2014.07.02,00:00,101.518,101.841,101.405,101.771,32941
2014.07.03,00:00,101.766,102.266,101.758,102.191,36240
2014.07.04,00:00,102.188,102.219,101.972,102.061,24089
2014.07.07,00:00,102.067,102.197,101.785,101.862,32189
2014.07.08,00:00,101.855,101.894,101.486,101.571,37416
2014.07.09,00:00,101.568,101.851,101.445,101.638,35272
2014.07.10,00:00,101.636,101.662,101.065,101.339,42599
2014.07.11,00:00,101.341,101.387,101.216,101.339,47808
2014.07.14,00:00,101.335,101.62,101.328,101.53,44479
2014.07.15,00:00,101.531,101.748,101.438,101.678,48439
2014.07.16,00:00,101.66,101.788,101.634,101.669,23063
2014.07.17,00:00,101.662,101.692,101.135,101.162,30646
2014.07.18,00:00,101.175,101.445,101.084,101.343,30118
2014.07.21,00:00,101.332,101.392,101.191,101.318,19079
2014.07.22,00:00,101.385,101.601,101.33,101.453,34518
2014.07.23,00:00,101.45,101.542,101.312,101.461,34499
2014.07.24,00:00,101.469,101.855,101.412,101.804,40756
2014.07.25,00:00,101.803,101.934,101.708,101.708,44639
2014.07.28,00:00,101.789,101.903,101.744,101.851,41884
2014.07.29,00:00,101.842,102.154,101.819,102.113,53092
2014.07.30,00:00,102.104,103.079,102.032,102.667,52275
2014.07.31,00:00,102.784,103.002,102.671,102.672,33552
2014.08.01,00:00,102.777,103.023,102.334,102.552,38111
2014.08.04,00:00,102.573,102.724,102.401,102.559,28884
2014.08.05,00:00,102.557,102.92,102.456,102.587,36972
2014.08.06,00:00,102.587,102.636,101.777,102.098,47135
2014.08.07,00:00,102.091,102.454,101.993,102.083,45546
2014.08.08,00:00,102.085,102.138,101.505,102.02,58965
2014.08.11,00:00,102.106,102.221,102.018,102.185,29043
2014.08.12,00:00,102.178,102.359,102.086,102.253,28792
2014.08.13,00:00,102.251,102.539,102.218,102.407,31533
2014.08.14,00:00,102.411,102.65,102.304,102.441,29743
2014.08.15,00:00,102.44,102.712,102.133,102.35,39218
2014.08.18,00:00,102.366,102.59,102.241,102.558,23566
